 [INFO ] [2017-07-20 22:13:27,409] CaiTest.DominoInform2:358 - dc is not null
 [INFO ] [2017-07-20 22:13:27,460] CaiTest.DominoInform2:376 - dc recycled
 [INFO ] [2017-07-20 22:13:27,521] CaiTest.DominoInform2:378 - view01 recycled
 [INFO ] [2017-07-20 22:31:32,911] CaiTest.DominoInform2:345 - Session created
 [INFO ] [2017-07-20 22:31:33,059] CaiTest.DominoInform2:347 - Got Database
 [INFO ] [2017-07-20 22:31:33,535] CaiTest.DominoInform2:353 - Got DView03
 [INFO ] [2017-07-20 22:31:33,700] CaiTest.DominoInform2:356 - Got documents number:8
 [INFO ] [2017-07-20 22:31:33,701] CaiTest.DominoInform2:358 - dc is not null
 [INFO ] [2017-07-20 22:31:35,084] CaiTest.DominoInform2:376 - dc recycled
 [INFO ] [2017-07-20 22:31:35,143] CaiTest.DominoInform2:378 - view01 recycled
 [INFO ] [2017-07-20 22:33:01,046] CaiTest.DominoInform2:345 - Session created
 [INFO ] [2017-07-20 22:33:01,154] CaiTest.DominoInform2:347 - Got Database
 [INFO ] [2017-07-20 22:33:01,306] CaiTest.DominoInform2:353 - Got DView03
 [INFO ] [2017-07-20 22:33:01,458] CaiTest.DominoInform2:356 - Got documents number:81
 [INFO ] [2017-07-20 22:33:01,458] CaiTest.DominoInform2:358 - dc is not null
 [INFO ] [2017-07-20 22:33:11,729] CaiTest.DominoInform2:376 - dc recycled
 [INFO ] [2017-07-20 22:33:11,779] CaiTest.DominoInform2:378 - view01 recycled
 [INFO ] [2017-07-21 09:23:50,330] CaiTest.DominoInform2:345 - Session created
 [INFO ] [2017-07-21 09:23:50,494] CaiTest.DominoInform2:347 - Got Database
 [INFO ] [2017-07-21 09:23:50,724] CaiTest.DominoInform2:353 - Got DView03
 [INFO ] [2017-07-21 09:23:50,911] CaiTest.DominoInform2:356 - Got documents number:81
 [INFO ] [2017-07-21 09:23:50,912] CaiTest.DominoInform2:358 - dc is not null
 [INFO ] [2017-07-21 09:24:04,122] CaiTest.DominoInform2:376 - dc recycled
 [INFO ] [2017-07-21 09:24:04,145] CaiTest.DominoInform2:378 - view01 recycled
 
